metric,score
child_recall@1,0.000000
child_recall@10,0.000000
child_recall@20,0.000000
child_recall@3,0.000000
child_recall@5,0.000000
hitrate@1,0.640000
hitrate@10,0.920000
hitrate@20,0.920000
hitrate@3,0.900000
hitrate@5,0.920000
mrr,0.758333
ndcg@1,0.640000
ndcg@10,0.752222
ndcg@20,0.752222
ndcg@3,0.698729
ndcg@5,0.752222
parent_recall@1,0.268333
parent_recall@10,0.841667
parent_recall@20,0.841667
parent_recall@3,0.683333
parent_recall@5,0.841667
precision@1,0.640000
precision@10,0.220000
precision@20,0.110000
precision@3,0.586667
precision@5,0.440000
recall@1,0.268333
recall@10,0.841667
recall@20,0.841667
recall@3,0.683333
recall@5,0.841667
source_hitrate@1,0.880000
source_hitrate@10,0.960000
source_hitrate@20,0.960000
source_hitrate@3,0.960000
source_hitrate@5,0.960000
